@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.480483,-0.496845,-1.407173,-1.467214,QSO
-0.298384,-1.449086,-0.410218,-1.405743,QSO
0.504672,-0.578567,-1.692018,-1.142295,QSO
0.306327,-0.663842,-0.793662,-0.839331,QSO
0.286976,-1.189707,-0.410218,-0.707607,QSO
-1.839185,-2.770855,-3.614718,-2.534176,QSO
-0.003285,-0.681608,-0.426651,-3.131323,QSO
0.330515,-1.147069,-1.303096,-0.242183,QSO
0.601425,-1.591212,-0.634807,-0.27731,QSO
-0.17986,-1.417108,-0.886784,-1.357444,QSO
0.137008,-1.399342,-0.678629,-0.83494,QSO
0.095888,-0.962306,-1.407173,-1.625282,QSO
-6.957452,-1.896782,-1.24284,-1.243283,QSO
-0.237913,-0.923222,-2.08094,-1.22133,QSO
0.422431,-0.866371,-0.662196,-1.39257,QSO
-0.315315,-0.972965,-1.018251,-1.489168,QSO
0.42485,-0.606992,-1.29214,-0.993008,QSO
-11.204936,-2.564773,-1.423607,-1.260847,QSO
-0.40965,-0.919668,-1.237362,-1.770178,QSO
0.088631,-1.207473,-2.464385,-1.11156,QSO
0.180547,-1.768869,-2.365785,-2.099488,QSO
-5.653697,-6.363081,-3.477774,-2.213648,QSO
0.270044,-1.491724,-0.695062,-0.690044,QSO
0.178128,-2.646495,-0.475951,-0.474895,QSO
-0.312897,-1.50949,-2.37674,-1.05448,QSO
0.253112,-0.781096,-1.598896,-1.537466,QSO
-0.259682,-1.111538,-0.191106,-1.269628,QSO
0.233761,-1.616084,-1.423607,-0.338781,QSO
-0.133902,-0.411569,-1.659151,-0.514412,QSO
0.112819,-0.89835,-2.486296,-0.716389,QSO
0.151521,-0.713586,-0.684107,-1.093997,QSO
0.332934,-1.495277,-1.182585,-2.459532,QSO
0.078956,-1.790188,-1.478385,-2.731761,QSO
-0.767639,-1.182601,-0.733407,-1.594547,QSO
0.032998,-1.182601,-2.037118,-1.173031,QSO
0.56998,-1.267876,-0.853918,-0.887629,QSO
0.545792,0.238656,1.616561,0.328619,WDA
-0.518498,-0.933881,-0.84844,-0.681262,WDA
-0.300802,-0.223253,-0.35544,0.196896,WDA
-0.131484,-0.223253,-0.35544,0.723791,WDA
0.666734,0.451844,1.178338,0.065172,WDA
