@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.894795,0.889718,0.904352,0.524597,WDA
0.822813,0.740512,0.765662,0.429516,WDA
0.902178,0.902692,0.904352,0.508061,WDA
0.811739,0.854038,0.813486,0.417115,WDA
0.891104,0.879987,0.904352,0.516329,WDA
0.822813,0.821602,0.870875,0.47499,WDA
0.904024,0.909179,0.885222,0.491525,WDA
0.929863,0.912423,0.88044,0.417115,WDA
0.833887,0.854038,0.856528,0.516329,WDA
0.798819,0.698346,0.717838,0.417115,WDA
0.939092,0.925397,0.904352,0.458454,WDA
0.950166,0.805384,0.66045,0.226953,WDA
0.909561,0.860525,0.870875,0.536999,WDA
0.878184,0.82809,0.846963,0.528731,WDA
0.881875,0.847551,0.909134,0.466722,WDA
0.798819,0.734025,0.732186,0.412981,WDA
0.874492,0.844307,0.832616,0.499793,WDA
0.863418,0.789166,0.803922,0.470856,WDA
0.837578,0.824846,0.827834,0.342704,WDA
0.977852,0.95459,0.885222,0.520463,WDA
0.796973,0.727538,0.708274,0.396445,WDA
0.850498,0.854038,0.894787,0.441918,WDA
0.983389,0.961077,0.89957,0.499793,WDA
0.964932,0.951346,0.904352,0.441918,WDA
0.907715,0.896205,0.909134,0.512195,WDA
0.889258,0.892961,0.890005,0.532865,WDA
0.904024,0.889718,0.885222,0.239355,WDA
0.857881,0.8735,0.851746,0.644481,WDA
0.819121,0.737269,0.794357,0.458454,WDA
0.808047,0.724295,0.751315,0.388177,WDA
0.81543,0.740512,0.751315,0.404713,WDA
0.809893,0.737269,0.713056,0.417115,WDA
0.813584,0.71132,0.756098,0.313766,WDA
0.78959,0.698346,0.736968,0.392311,WDA
0.798819,0.721051,0.722621,0.437784,WDA
0.804356,0.698346,0.713056,0.408847,WDA
0.804356,0.724295,0.713056,0.400579,WDA
0.80251,0.721051,0.746533,0.396445,WDA
0.809893,0.714564,0.746533,0.396445,WDA
0.806202,0.727538,0.736968,0.392311,WDA
0.806202,0.724295,0.732186,0.392311,WDA
0.817276,0.714564,0.722621,0.400579,WDA
0.804356,0.698346,0.732186,0.384043,WDA
0.798819,0.724295,0.732186,0.396445,WDA
0.813584,0.698346,0.713056,0.359239,WDA
0.804356,0.734025,0.770445,0.371641,WDA
0.800664,0.730782,0.727403,0.412981,WDA
0.793282,0.721051,0.74175,0.392311,WDA
0.80251,0.724295,0.727403,0.425382,WDA
0.804356,0.724295,0.722621,0.43365,WDA
0.808047,0.734025,0.770445,0.392311,WDA
0.800664,0.721051,0.74175,0.421248,WDA
0.806202,0.740512,0.736968,0.441918,WDA
0.804356,0.71132,0.736968,0.421248,WDA
0.811739,0.730782,0.775227,0.408847,WDA
0.800664,0.734025,0.736968,0.408847,WDA
0.793282,0.737269,0.751315,0.400579,WDA
0.811739,0.737269,0.727403,0.466722,WDA
0.813584,0.730782,0.736968,0.425382,WDA
0.809893,0.721051,0.76088,0.404713,WDA
0.808047,0.730782,0.74175,0.396445,WDA
0.798819,0.734025,0.722621,0.412981,WDA
0.811739,0.737269,0.746533,0.384043,WDA
0.806202,0.730782,0.732186,0.417115,WDA
0.811739,0.743756,0.746533,0.446052,WDA
0.811739,0.730782,0.732186,0.421248,WDA
0.811739,0.75673,0.746533,0.437784,WDA
0.817276,0.734025,0.756098,0.396445,WDA
0.798819,0.737269,0.74175,0.412981,WDA
0.819121,0.747,0.751315,0.429516,WDA
0.80251,0.750243,0.727403,0.45432,WDA
0.811739,0.730782,0.74175,0.408847,WDA
0.81543,0.721051,0.756098,0.404713,WDA
0.81543,0.721051,0.751315,0.425382,WDA
0.81543,0.727538,0.736968,0.425382,WDA
0.809893,0.743756,0.732186,0.400579,WDA
0.822813,0.727538,0.813486,0.441918,WDA
0.80251,0.727538,0.775227,0.392311,WDA
0.817276,0.714564,0.76088,0.429516,WDA
0.820967,0.721051,0.770445,0.379909,WDA
0.822813,0.724295,0.76088,0.396445,WDA
0.832041,0.734025,0.765662,0.396445,WDA
0.822813,0.717807,0.76088,0.425382,WDA
0.809893,0.740512,0.736968,0.43365,WDA
0.837578,0.759974,0.784792,0.417115,WDA
0.809893,0.776192,0.746533,0.466722,WDA
0.809893,0.740512,0.727403,0.437784,WDA
0.808047,0.740512,0.732186,0.508061,WDA
0.822813,0.734025,0.765662,0.450186,WDA
0.822813,0.734025,0.74175,0.458454,WDA
0.811739,0.75673,0.765662,0.408847,WDA
0.811739,0.743756,0.746533,0.421248,WDA
0.832041,0.727538,0.746533,0.421248,WDA
0.833887,0.737269,0.765662,0.404713,WDA
0.81543,0.763218,0.746533,0.429516,WDA
0.826504,0.75673,0.76088,0.437784,WDA
0.81543,0.740512,0.756098,0.441918,WDA
0.820967,0.730782,0.756098,0.437784,WDA
0.822813,0.734025,0.746533,0.408847,WDA
0.833887,0.727538,0.756098,0.367507,WDA
0.822813,0.772948,0.732186,0.503927,WDA
0.839424,0.740512,0.770445,0.421248,WDA
0.833887,0.730782,0.784792,0.421248,WDA
0.820967,0.734025,0.76088,0.363373,WDA
0.844961,0.724295,0.736968,0.536999,WDA
0.826504,0.753487,0.770445,0.425382,WDA
0.824659,0.743756,0.76088,0.491525,WDA
0.809893,0.753487,0.751315,0.43365,WDA
0.819121,0.75673,0.756098,0.429516,WDA
0.820967,0.743756,0.756098,0.425382,WDA
0.81543,0.753487,0.765662,0.408847,WDA
0.81543,0.734025,0.746533,0.441918,WDA
0.839424,0.740512,0.775227,0.425382,WDA
0.819121,0.759974,0.765662,0.450186,WDA
0.813584,0.759974,0.751315,0.450186,WDA
0.84127,0.759974,0.784792,0.470856,WDA
0.832041,0.743756,0.76088,0.425382,WDA
